minimizedAffinity,name,RFScoreVS_v2
-7.90209,ZINC000619015225,6.00134842479
-9.88485,ZINC000284910391,6.03357453306
-9.73429,ZINC000284910391,6.11164771435
-9.72441,ZINC000284910391,6.0632825469
-9.14451,ZINC000284910391,5.99155622619
-9.13870,ZINC000284910391,6.08351164654
-8.75325,ZINC000284910391,6.0575443622
-8.53385,ZINC000284910391,6.04529768288
-8.47346,ZINC000284910391,6.07868525762
-8.35053,ZINC000284910391,6.05130611393
-8.68040,ZINC000488256763,5.99861052842
-8.67897,ZINC000488256763,6.04315715832
-8.55287,ZINC000488256763,5.99081394423
-8.38274,ZINC000488256763,5.96727881638
-8.32864,ZINC000488256763,5.99310741712
-8.31713,ZINC000488256763,5.98444632504
-8.21071,ZINC000488256763,6.00152669658
-8.18423,ZINC000488256763,5.97055360047
-8.13832,ZINC000488256763,5.97981069333
-8.60352,ZINC000480408888,6.00347458186
-8.60026,ZINC000480408888,6.02193987862
-8.34441,ZINC000480408888,5.97450361267
-7.78585,ZINC000480408888,5.9724372417
-7.72704,ZINC000480408888,5.9588444033
-7.71635,ZINC000480408888,5.96296867973
-7.29905,ZINC000480408888,5.95892302149
-7.08596,ZINC000480408888,5.97233619397
-7.03307,ZINC000480408888,5.97485586867
-10.26272,ZINC000367447199,6.04049554097
-10.00148,ZINC000367447199,5.98867135186
-9.78355,ZINC000367447199,5.98750436122
-9.70671,ZINC000367447199,6.00966756814
-9.43389,ZINC000367447199,5.9735031473
-9.38084,ZINC000367447199,5.97801387283
-9.37726,ZINC000367447199,5.98963168282
-9.29369,ZINC000367447199,5.97563441086
-9.24661,ZINC000367447199,5.95634583376
-10.15788,ZINC000573216829,6.14719438965
-9.62677,ZINC000573216829,6.09316380548
-9.53633,ZINC000573216829,6.03190022086
-9.14417,ZINC000573216829,6.08910048737
-9.13733,ZINC000573216829,5.99335543226
-9.04253,ZINC000573216829,6.06208065563
-8.90928,ZINC000573216829,6.00350419361
-8.77142,ZINC000573216829,5.98350895715
-8.75195,ZINC000573216829,5.97701137411
-7.81791,ZINC000130532671,5.95550551084
-7.78739,ZINC000130532671,5.97720055065
-7.77946,ZINC000130532671,5.98555605106
-7.55342,ZINC000130532671,5.96563770317
-7.40298,ZINC000130532671,5.95941266059
-7.16744,ZINC000130532671,5.97022188167
-7.16079,ZINC000130532671,5.96666099679
-7.07264,ZINC000130532671,5.95185830359
-6.86577,ZINC000130532671,5.95629364939
-8.67135,ZINC000176752603,5.95
-8.31640,ZINC000176752603,5.95
-8.05073,ZINC000176752603,5.95
-7.91799,ZINC000176752603,5.95
-7.44784,ZINC000176752603,5.95072307312
-7.37160,ZINC000176752603,5.95420121999
-7.36816,ZINC000176752603,5.95
-7.36746,ZINC000176752603,5.96143242615
-7.14295,ZINC000176752603,5.95314575749
-10.65566,ZINC000185084297,6.0079946123
-10.63588,ZINC000185084297,6.01073655046
-10.52306,ZINC000185084297,6.00608292033
-10.29232,ZINC000185084297,6.02064811238
-10.20710,ZINC000185084297,5.97669651295
